artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,release_type,duration,release_day,release_month,release_year
Nathaniel Bassey,Olorun Agbaye - You Are Mighty,0gDyskuhux7JfUcGzn0gY9,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,0 days 00:07:16.321000,58,False,0.345,0.698,A#/Bb,-6.186,Major,0.0465,0.116,1.49e-06,0.348,0.188,123.922,3,"Chandler Moore, Oba",Album,07:16,Thursday,April,2021
Nathaniel Bassey,You Are God (feat. Chigozie Achugo),78D1ZERxVW4XvelhO1jG4K,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,0 days 00:04:31.438000,55,False,0.487,0.641,C,-4.704,Major,0.0351,0.0501,1.66e-06,0.183,0.434,123.955,4,Chigozie Achugo,Album,04:31,Monday,October,2016
Nathaniel Bassey,Adonai,7axctArGc7dtaEJSl3IZge,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:08:31.207000,56,False,0.269,0.711,C,-5.951,Minor,0.0379,0.00366,0.00215,0.442,0.157,129.583,3,,Album,08:31,Saturday,February,2022
Nathaniel Bassey,Imela (feat. Enitan Adaba),50OHI0yJ1ti2jTWySMz6jY,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,0 days 00:05:54.573000,53,False,0.366,0.522,F#/Gb,-8.552,Major,0.0319,0.146,0.00051,0.12,0.325,150.101,4,Enitan Adaba,Album,05:54,Monday,December,2014
Nathaniel Bassey,See What the Lord Has Done,3BPPakEzZWw0pQQzuQfvBt,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:07:34.829000,54,False,0.265,0.539,G#/Ab,-7.433,Major,0.0315,0.025,0.0,0.371,0.321,139.699,4,,Album,07:34,Saturday,February,2022
Nathaniel Bassey,Yeshua Hamashiach,6xmcjy9fiHc5UZlUZDg5uy,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,0 days 00:07:44.306000,52,False,0.551,0.886,A,-4.766,Major,0.0578,0.0726,1.73e-05,0.0896,0.346,147.995,4,,Album,07:44,Friday,November,2019
Nathaniel Bassey,Onise Iyanu (feat. Micah Stampley),0S7l0Nz5MztXjkNTppknRp,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,0 days 00:06:06.498000,52,False,0.284,0.796,G,-4.604,Minor,0.0504,0.203,0.0,0.391,0.309,144.214,4,Micah Stampley,Album,06:06,Monday,October,2016
Nathaniel Bassey,Tobechukwu - Live,79zFqU5mmz9wnuKfjaiPJp,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,0 days 00:08:08.339000,53,False,0.425,0.715,A#/Bb,-6.247,Major,0.0733,0.381,0.0,0.0956,0.686,75.374,4,MERCY CHINWO BLESSED,Live Album,08:08,Friday,March,2023
Nathaniel Bassey,Ebenezer - Live,1NIsNb7J8yfy9TYE1ycKMp,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,0 days 00:08:31.197000,53,False,0.544,0.858,G,-4.976,Major,0.0454,0.156,0.0,0.47,0.48,143.979,3,VICTORIA ORENZE,Live Album,08:31,Friday,March,2023
Nathaniel Bassey,Wonderful Wonder,5sSoA18jYUkQkvC64o0IDS,God of Love,2T2gLRnY1ylgkEWaEVuL1H,2013-12-01,0 days 00:05:37.160000,52,False,0.668,0.575,G#/Ab,-7.929,Major,0.0632,0.491,0.0,0.0919,0.409,172.059,4,Love Song,EP,05:37,Sunday,December,2013
Nathaniel Bassey,There Is a Place,64rX585EFtuNmqIwPERF7y,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,0 days 00:08:46.421000,47,False,0.553,0.719,A#/Bb,-5.568,Major,0.0341,0.0866,6.79e-06,0.0781,0.389,106.0,4,,Album,08:46,Friday,November,2019
Nathaniel Bassey,Eze,5chlHfzxmultlAV3b8ZHtN,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,0 days 00:03:04.424000,48,False,0.44,0.491,D#/Eb,-5.935,Major,0.0273,0.815,2.28e-06,0.111,0.282,112.142,4,,Album,03:04,Monday,October,2016
Nathaniel Bassey,Iba,0EWnPlQCVV2fTp0EGvLnjY,Iba,3bdmsRx4jXf9I2w4x5lY3d,2023-06-09,0 days 00:10:25.167000,50,False,0.476,0.692,D,-5.1,Major,0.0439,0.252,8.59e-05,0.0901,0.191,119.827,4,"Dunsin Oyekan, Dasola Akinbule",Single,10:25,Friday,June,2023
Nathaniel Bassey,Ruach Elohim,4fATkvHKHCDjowOqX3I8er,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:10:01.941000,48,False,0.254,0.734,G#/Ab,-6.028,Minor,0.0552,0.161,0.0,0.0908,0.23,121.404,4,Victoria Orenze,Album,10:01,Saturday,February,2022
Nathaniel Bassey,Psalm 91,3AnTq3JulWWpgHWeac3LuU,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,0 days 00:02:53.056000,45,False,0.254,0.44,A#/Bb,-11.591,Major,0.0554,0.75,0.00505,0.0785,0.322,175.01,3,OYINKAN KOKU-BAZUAYE,Album,02:53,Friday,November,2019
Nathaniel Bassey,Alagbada Ina (feat. Victoria Orenze),5nYZcBMWmElPweuzKs4ANs,Revival Flames,3ouj0BXXkGizxWYTtcPK3y,2017-05-08,0 days 00:04:31.935000,47,False,0.486,0.74,C,-4.644,Major,0.053,0.275,0.0,0.285,0.526,148.297,4,Victoria Orenze,Album,04:31,Monday,May,2017
Nathaniel Bassey,Hallelujah Challenge Praise Medley,4fb07V0Hb8AtVSCnza69Nr,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,0 days 00:13:45.959000,47,False,0.598,0.833,G#/Ab,-5.104,Major,0.0429,0.0692,0.0,0.252,0.802,160.018,4,,Album,13:45,Thursday,April,2021
Nathaniel Bassey,No Other God,5erufNGesKhTwtxeJa8wZD,God of Love,2T2gLRnY1ylgkEWaEVuL1H,2013-12-01,0 days 00:05:41.227000,47,False,0.56,0.366,D#/Eb,-7.045,Major,0.032,0.819,0.0,0.341,0.315,109.851,4,Love Song,EP,05:41,Sunday,December,2013
Nathaniel Bassey,Worship Medley Interlude,4naT1LEBGLTj8jPNK2GfwM,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:02:33.875000,46,False,0.219,0.412,G#/Ab,-8.72,Major,0.0294,0.159,0.0,0.12,0.358,88.993,4,,Album,02:33,Saturday,February,2022
Nathaniel Bassey,This God Is Too Good (feat. Micah Stampley),1IxzckvVNIDjmiCy7X76Cx,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,0 days 00:06:17.443000,47,False,0.275,0.632,C,-5.847,Major,0.0445,0.53,0.0,0.271,0.286,152.235,4,Micah Stampley,Album,06:17,Monday,October,2016
Nathaniel Bassey,Emmanuel,466dosccGHgyox0Wr3hdea,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,0 days 00:07:46.667000,45,False,0.293,0.534,C#/Db,-6.569,Major,0.0354,0.383,5.25e-05,0.185,0.389,122.699,3,"NWANDO OMOSEBI, IFIOK EZENWA",Album,07:46,Friday,November,2019
Nathaniel Bassey,Casting Crowns,6qZapm4LgqfEhVHcAM2OsK,God of Love,2T2gLRnY1ylgkEWaEVuL1H,2013-12-01,0 days 00:07:16.400000,45,False,0.511,0.454,F,-8.357,Major,0.0302,0.547,0.00266,0.075,0.363,140.075,4,Love Song,EP,07:16,Sunday,December,2013
Nathaniel Bassey,Olowogbogboro,5YgdFIuXiyhKdkrjuZlyRa,Olowogbogboro,6kakXRqWMs5KqTt3YlpfJs,2017-06-27,0 days 00:05:56.403000,46,False,0.446,0.806,C#/Db,-3.005,Major,0.0428,0.124,0.0,0.111,0.512,163.976,4,Wale Adenuga,Unknown,05:56,Tuesday,June,2017
Nathaniel Bassey,TOBECHUKWU,0gsd7GzrNK9f1sDCWp6TUh,TOBECHUKWU,47LudPhVqHz7bEEuM4LUcr,2023-02-17,0 days 00:08:07.711000,50,False,0.353,0.716,A#/Bb,-6.256,Major,0.0758,0.382,0.0,0.146,0.666,74.631,4,MERCY CHINWO BLESSED,Single,08:07,Friday,February,2023
Nathaniel Bassey,See What the Lord Has Done (Live),5Hpn1jgQivnHL4bHw9N3k7,See What the Lord Has Done (Live),44YGNTg1fBLrZZuA4vCswK,2022-01-07,0 days 00:07:36.671000,42,False,0.322,0.469,G#/Ab,-10.986,Major,0.0314,0.0338,0.0,0.28,0.316,139.9,4,,Single,07:36,Friday,January,2022
Nathaniel Bassey,"Imela. ""Thank You"" (feat. Enitan Adaba)",3SzfwXKeA9ukvnZ853EEuE,"Imela. ""Thank You"" (feat. Enitan Adaba)",06WZWe8tHwHbHf2lHIOR6E,2012-04-01,0 days 00:05:55.519000,45,False,0.358,0.564,F#/Gb,-6.741,Major,0.0339,0.312,0.000449,0.156,0.326,149.091,4,Enitan Adaba,Single,05:55,Sunday,April,2012
Nathaniel Bassey,Ndum (My Life),4rjIjPrpDPIu2W8wwSB9Do,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:07:02.802000,45,False,0.379,0.556,D,-7.077,Major,0.0307,0.0635,0.0,0.112,0.214,108.002,4,MR M &REVELATION,Album,07:02,Saturday,February,2022
Nathaniel Bassey,Hallelujah Eh,1JXFG3l9X4Qu9unxomRr3p,Revival Flames,3ouj0BXXkGizxWYTtcPK3y,2017-05-08,0 days 00:04:24.411000,43,False,0.471,0.828,C,-4.339,Major,0.0456,0.00273,5.21e-06,0.248,0.121,147.911,4,,Album,04:24,Monday,May,2017
Nathaniel Bassey,Yahweh Yahweh,3xG60PE8aqTohdBvdukr5t,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,0 days 00:06:50.151000,43,False,0.531,0.83,C,-4.762,Major,0.0466,0.032,0.0,0.237,0.244,140.01,4,Sinach,Album,06:50,Thursday,April,2021
Nathaniel Bassey,Hallelujah Chant - Live,3LaVX2NaBDE7pqzErYouEw,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,0 days 00:09:27.089000,43,False,0.221,0.735,F,-5.426,Major,0.0396,0.0726,0.0133,0.119,0.422,184.023,4,NTOKOZO MBAMBO,Live Album,09:27,Friday,March,2023
Nathaniel Bassey,Strong Tower,0Ob9BANAbDxXYTaq4jO0qI,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,0 days 00:06:42.973000,43,False,0.57,0.652,F,-5.888,Minor,0.0417,0.38,0.0,0.0918,0.756,163.958,4,Glenn Gwazai,Album,06:42,Sunday,December,2018
Nathaniel Bassey,Carry Me,6jDk3LoKeU6tVSAmV0gbsj,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,0 days 00:06:23.189000,42,False,0.53,0.692,A#/Bb,-5.612,Major,0.0311,0.37,0.000205,0.131,0.653,143.976,4,"BEMIGHO OMAYUKU, PAT AKEM-VINGIR",Album,06:23,Friday,November,2019
Nathaniel Bassey,Yeshua Hamashiach (Overture),3hbjwNtFbsRjjPA08oeSLS,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:07:58.665000,43,False,0.261,0.409,D,-10.256,Major,0.0361,0.0471,2.09e-05,0.107,0.0579,85.421,1,OYINKAN KOKU-BAZUAYE,Album,07:58,Saturday,February,2022
Nathaniel Bassey,All Power,3LZrMsidVgNT0OuLqo8dUv,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,0 days 00:04:43.435000,41,False,0.685,0.703,C,-5.344,Minor,0.0307,0.402,4.65e-06,0.254,0.591,123.924,4,,Album,04:43,Friday,November,2019
Nathaniel Bassey,The Champion (feat. Joe Mettle),7pYrYSKn5bGa1vwVuIV0Gr,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,0 days 00:06:58.377000,42,False,0.423,0.686,D#/Eb,-3.454,Major,0.0307,0.0452,0.0,0.179,0.423,115.976,4,Joe Mettle,Album,06:58,Monday,October,2016
Nathaniel Bassey,Take the Stage,0G22mmY3Dmx1sNoocaRUHL,Revival Flames,3ouj0BXXkGizxWYTtcPK3y,2017-05-08,0 days 00:03:20.150000,41,False,0.392,0.117,C,-9.996,Major,0.0405,0.936,7.76e-06,0.0942,0.214,133.471,3,,Album,03:20,Monday,May,2017
Nathaniel Bassey,Ese - Live,05OIc5vmKS9HZJPsGMqvVq,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,0 days 00:06:57.737000,43,False,0.339,0.459,C,-7.534,Major,0.0282,0.39,1.05e-06,0.171,0.135,131.881,4,AIDEE IME,Live Album,06:57,Friday,March,2023
Nathaniel Bassey,Exalted,5fzrSMisZDfevOeNYX3a7j,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:07:36.030000,40,False,0.213,0.514,D#/Eb,-6.343,Major,0.0293,0.0929,0.00233,0.0974,0.222,138.155,4,,Album,07:36,Saturday,February,2022
Nathaniel Bassey,The Son of God,0wI3bNUJr4Smig6mQLby5F,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,0 days 00:05:04.813000,40,False,0.414,0.714,A#/Bb,-6.577,Major,0.035,0.0854,6.67e-06,0.252,0.495,176.008,3,,Album,05:04,Monday,December,2014
Nathaniel Bassey,Fountain of Mercy - Live,5BuX4vO2bce8LGIa16HHhE,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,0 days 00:08:08.719000,40,False,0.603,0.866,B,-5.696,Major,0.107,0.344,0.0,0.157,0.55,101.946,4,SINACH,Live Album,08:08,Friday,March,2023
Nathaniel Bassey,Elshaddai Adonai,2qRHCIZz2iARI5M2mMEp9P,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:08:41.413000,39,False,0.263,0.534,C,-6.915,Major,0.0367,0.0165,1.9e-06,0.0961,0.179,114.394,3,Ntokozo Mbambo,Album,08:41,Saturday,February,2022
Nathaniel Bassey,Glorious God (feat. Jumoke Oshoboke),1Ygs7AhvejgsZJKhbdQrJT,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,0 days 00:03:10.694000,39,False,0.263,0.3,D#/Eb,-7.826,Major,0.0318,0.868,0.0,0.178,0.289,63.112,5,Jumoke Oshoboke,Album,03:10,Monday,October,2016
Nathaniel Bassey,Righteous One,2Snwi51v6uwSQ464UTCFrB,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,0 days 00:08:09.177000,39,False,0.429,0.293,C,-9.286,Major,0.0276,0.329,1.5e-05,0.133,0.109,58.474,4,Victoria Orenze,Album,08:09,Thursday,April,2021
Nathaniel Bassey,Lift up Your Heads (Pslam 24),4LbMfAXzksC2Vjb5oCTYg5,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:05:39.219000,39,False,0.265,0.693,E,-6.461,Major,0.0459,0.00025,3.31e-06,0.319,0.0835,121.326,4,,Album,05:39,Saturday,February,2022
Nathaniel Bassey,Mercy Declaration - Live,0DfthCocZ8abZC5qPPaOrn,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,0 days 00:02:41.146000,39,False,0.361,0.378,B,-12.323,Minor,0.0361,0.77,0.0,0.359,0.332,76.505,4,,Live Album,02:41,Friday,March,2023
Nathaniel Bassey,Hallelujah Anthem - Live,5b2s1u57L7RO97gpBGEWYm,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,0 days 00:08:30.363000,38,False,0.282,0.634,G#/Ab,-6.687,Major,0.0328,0.112,0.000133,0.0822,0.186,95.782,4,,Live Album,08:30,Friday,March,2023
Nathaniel Bassey,Worthy Is the Lamb (Hallelujah Challenge Praise Medley 2),5kZvQyDPB33N9yb99rdc3V,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:10:28.354000,38,False,0.519,0.905,C,-4.771,Major,0.055,0.0462,0.0,0.226,0.559,156.012,4,,Album,10:28,Saturday,February,2022
Nathaniel Bassey,Hallelujah Praise The Lord - Live,3wdiiUckGIUrdOzh0vPUTI,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,0 days 00:12:37.611000,37,False,0.383,0.652,D,-6.682,Major,0.0372,0.0839,0.000125,0.319,0.111,135.947,4,WILLIAM MCDOWELL,Live Album,12:37,Friday,March,2023
Nathaniel Bassey,The Lord Is My Light (Psalm 27),0DXou2WsfAgqrX8Z9Apmo9,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:09:03.336000,36,False,0.646,0.904,C,-5.71,Minor,0.0561,0.0374,0.00797,0.781,0.59,112.003,4,,Album,09:03,Saturday,February,2022
Nathaniel Bassey,You Are Here,2beGK5IyCejCk4JKghOBE7,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:07:00.866000,36,False,0.209,0.539,B,-7.067,Minor,0.0339,0.366,0.0,0.133,0.103,133.468,4,Ntokozo Mbambo,Album,07:00,Saturday,February,2022
Nathaniel Bassey,Casting Crowns,2AXoz82FM7qwhFwEKztGdm,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,0 days 00:06:34.031000,39,False,0.516,0.493,F,-8.344,Major,0.0264,0.0119,0.00104,0.139,0.168,139.953,4,,Album,06:34,Monday,December,2014
Nathaniel Bassey,Great and Marvelous (feat. Onos Ariyo),12qPgIITU27vSS6OYaous2,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,0 days 00:02:02.279000,36,False,0.467,0.936,F,-2.608,Major,0.228,0.589,0.0,0.129,0.692,172.189,4,Onos Ariyo,Album,02:02,Monday,October,2016
Nathaniel Bassey,The King Is Coming,6tZEEpjjHedF5VCusmaxdL,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,0 days 00:06:05.660000,35,False,0.716,0.743,C,-5.815,Minor,0.0375,0.301,3.67e-06,0.0701,0.864,82.001,4,,Album,06:05,Friday,November,2019
Nathaniel Bassey,Like a Symphony (Live),5hDRdQmmewFPNhU19AnVjl,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:08:43.657000,35,False,0.483,0.788,A#/Bb,-5.846,Major,0.0339,0.000405,0.000403,0.368,0.292,78.003,4,,Album,08:43,Saturday,February,2022
Nathaniel Bassey,Jesus (Live),295cQNU49KVdeRTsTSt3jA,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:07:31.620000,35,False,0.247,0.64,G#/Ab,-6.388,Major,0.0329,0.0118,0.000514,0.266,0.1,108.197,4,Ada Ehi,Album,07:31,Saturday,February,2022
Nathaniel Bassey,Adonai (Trumpet Version),2hi2Nzw40vfs62bx9arTIc,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,0 days 00:08:31.953000,33,False,0.234,0.703,C,-5.903,Major,0.0353,0.00151,0.824,0.331,0.0884,130.046,3,,Album,08:31,Saturday,February,2022
Nathaniel Bassey,Hallelujah Praise The Lord Overflow - Live,6ucOS2rYZYE5IoZzWyzR4Y,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,0 days 00:10:39.594000,34,False,0.178,0.276,E,-11.873,Minor,0.031,0.561,0.000113,0.107,0.0519,88.049,4,WILLIAM MCDOWELL,Live Album,10:39,Friday,March,2023
Nathaniel Bassey,I've Come to Worship,0wjDb9VXGN3YorfLKNHbTv,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,0 days 00:03:01.891000,35,False,0.437,0.241,C#/Db,-8.226,Minor,0.0281,0.898,8.01e-06,0.114,0.178,107.697,3,,Album,03:01,Monday,October,2016
Nathaniel Bassey,You Are Holy,4RMbIqcWkxgoilODIW2nEy,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,0 days 00:07:30.475000,33,False,0.404,0.549,D#/Eb,-6.232,Major,0.0309,0.402,0.0,0.0806,0.25,106.116,4,"Mahalia Buchanan, Joe Mettle",Album,07:30,Friday,November,2019
Nathaniel Bassey,Jehovah Nissi,782iWBdRB3utjkDHNXiBRQ,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,0 days 00:07:25.730000,33,False,0.481,0.736,C,-4.889,Major,0.0382,0.0138,0.0,0.07,0.564,167.919,4,,Album,07:25,Friday,November,2019
Nathaniel Bassey,Wonderful Wonder (feat. Lovesong),2auHxwzpXs9bD9ElULGlTM,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,0 days 00:05:33.531000,34,False,0.444,0.749,F,-5.019,Major,0.132,0.339,0.0,0.0853,0.41,172.038,4,Love Song,Album,05:33,Monday,October,2016
Nathaniel Bassey,Sound of Many Waters - Live,1kPSZxzOSZHFZYawEfV1Ck,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,0 days 00:11:06.885000,35,False,0.376,0.843,D,-6.173,Minor,0.112,0.0161,3.88e-05,0.903,0.351,168.082,4,NQUBEKO MBATHA,Live Album,11:06,Friday,March,2023
Nathaniel Bassey,We Honour You - Live,4gITBZqCcnv9udpMVE2AbJ,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,0 days 00:11:55.785000,34,False,0.277,0.671,D,-6.029,Major,0.0342,0.0163,0.00769,0.25,0.178,135.984,3,,Live Album,11:55,Friday,March,2023
Nathaniel Bassey,Awamaridi,1DO2LeBeYHpgOoOqMc3g9X,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,0 days 00:08:46.587000,32,False,0.327,0.36,C,-8.107,Minor,0.031,0.858,5.81e-05,0.114,0.192,127.87,4,"Tomi Favored, Tope Alabi",Album,08:46,Sunday,December,2018
Nathaniel Bassey,You Deserve the Glory / No One,0dcmP51Q5OOA9Zi3krdcAU,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,0 days 00:06:06.820000,30,False,0.206,0.306,A#/Bb,-10.49,Minor,0.0322,0.877,0.000123,0.112,0.108,85.279,3,,Album,06:06,Monday,December,2014
Nathaniel Bassey,Let Your Fire Fall - Live,4ENojSKMZWaRsuksnbw57k,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,0 days 00:15:36.854000,33,False,0.316,0.638,C,-7.146,Major,0.0478,0.376,0.0,0.0815,0.181,127.884,4,VICTORIA ORENZE,Live Album,15:36,Friday,March,2023
Nathaniel Bassey,Celebrate Jesus (feat. Onos Ariyo),3Elx2jdT9Ww9ZNoHndZnDV,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,0 days 00:03:42.563000,30,False,0.551,0.725,G,-4.069,Minor,0.199,0.169,0.0,0.0736,0.899,171.889,4,Onos Ariyo,Album,03:42,Monday,October,2016
Nathaniel Bassey,Abba Father,4Kj6tfC6ZeGwPg79c3ASzp,Revival Flames,3ouj0BXXkGizxWYTtcPK3y,2017-05-08,0 days 00:04:13.179000,31,False,0.636,0.48,C,-8.652,Major,0.0315,0.572,1.42e-05,0.152,0.529,148.026,4,,Album,04:13,Monday,May,2017
Nathaniel Bassey,I Will Dance,52BBVJxsevDdwV8QkBayRC,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,0 days 00:03:50.435000,30,False,0.705,0.613,C#/Db,-7.811,Major,0.0379,0.451,1.28e-06,0.111,0.394,89.91,4,Jumoke Oshoboke,Album,03:50,Friday,November,2019
Nathaniel Bassey,Hallelujah Challenge Worship Medley,3N60U5RGbcbANKbUxOMyYn,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,0 days 00:10:41.810000,33,False,0.246,0.677,C,-5.456,Major,0.0345,0.0535,3.91e-06,0.173,0.264,135.575,3,,Album,10:41,Thursday,April,2021
Nathaniel Bassey,There is a Sound - Live,2XOPCj93C7u79aA1C2TsX7,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,0 days 00:06:16.143000,32,False,0.582,0.841,C,-5.382,Major,0.04,0.0131,0.00033,0.357,0.417,132.021,4,,Live Album,06:16,Friday,March,2023
